task_id	name	status	exit	realtime	peak_vmem
872	run_method (method: dCRT_supervised_LASSO_LASSO_4; grid row: 32)	COMPLETED	0	3m 17s	850.7 MB
1600	run_method (method: MaxwayCRT_supervised_LASSO_LASSO_6; grid row: 70)	COMPLETED	0	1m 16s	965.5 MB
2393	run_method (method: GCM_supervised_oracle_oracle_1; grid row: 25)	COMPLETED	0	6.8s	1.1 GB
1128	run_method (method: GCM_supervised_LASSO_LASSO_2; grid row: 51)	COMPLETED	0	2m 41s	969.1 MB
1142	run_method (method: dCRT_supervised_LASSO_LASSO_4; grid row: 53)	COMPLETED	0	2m 53s	999.6 MB
1141	run_method (method: GCM_supervised_PLASSO_PLASSO_3; grid row: 53)	COMPLETED	0	2m 40s	967.4 MB
1143	run_method (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 53)	COMPLETED	0	2m 56s	1.1 GB
1287	run_method (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 69)	COMPLETED	0	2m 39s	1.1 GB
1290	run_method (method: GCM_supervised_LASSO_LASSO_2; grid row: 69)	COMPLETED	0	2m 29s	965.3 MB
1302	run_method (method: GCM_supervised_LASSO_LASSO_2; grid row: 46)	COMPLETED	0	2m 40s	965.4 MB
1736	run_method (method: dCRT_supervised_LASSO_LASSO_4; grid row: 11)	COMPLETED	0	7m 1s	1.4 GB
1298	run_method (method: dCRT_supervised_LASSO_LASSO_4; grid row: 46)	COMPLETED	0	2m 59s	1000.2 MB
1304	run_method (method: dCRT_supervised_LASSO_LASSO_4; grid row: 46)	COMPLETED	0	2m 56s	1.1 GB
1646	run_method (method: dCRT_supervised_LASSO_LASSO_4; grid row: 74)	COMPLETED	0	2m 45s	1003 MB
786	run_method (method: GCM_supervised_LASSO_LASSO_2; grid row: 4)	COMPLETED	0	1m 15s	831.5 MB
787	run_method (method: GCM_supervised_PLASSO_PLASSO_3; grid row: 4)	COMPLETED	0	1m 16s	812.3 MB
789	run_method (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 4)	COMPLETED	0	1m 25s	810.8 MB
795	run_method (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 5)	COMPLETED	0	1m 27s	823.1 MB
1163	run_method (method: GCM_supervised_oracle_oracle_1; grid row: 54)	COMPLETED	0	3.1s	622.6 MB
